listing_id,title,company,location,rating,pay_low,pay_median,pay_high,pay_currency,easy_apply,industry,company_size,job_source,description,link
1010088213293,Growth Design Director,Pipedrive,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/growth-design-director-pipedrive-JV_IC2622109_KO0,22_KE23,32.htm?jl=1010088213293"
1009940180358,Senior Consultant Cloud Data Engineering / Databricks (m/w/d),Deloitte,Berlin,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/senior-consultant-cloud-data-engineering-databricks-mwd-deloitte-JV_IC2622109_KO0,55_KE56,64.htm?jl=1009940180358"
1010111343158,Director of Product Analytics,Pipedrive,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/director-of-product-analytics-pipedrive-JV_IC2622109_KO0,29_KE30,39.htm?jl=1010111343158"
1009959722776,Senior Analytics Engineer,Lovehoney Group,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/senior-analytics-engineer-lovehoney-group-JV_IC2622109_KO0,25_KE26,41.htm?jl=1009959722776"
1010069038523,Senior Database Administrator,Xsolla,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/senior-database-administrator-xsolla-JV_IC2622109_KO0,29_KE30,36.htm?jl=1010069038523"
1009987688228,Senior AI Engineer,Lovehoney Group,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/senior-ai-engineer-lovehoney-group-JV_IC2622109_KO0,18_KE19,34.htm?jl=1009987688228"
1010042158301,Principal Product Manager,Pipedrive,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/principal-product-manager-pipedrive-JV_IC2622109_KO0,25_KE26,35.htm?jl=1010042158301"
1010082157724,Delivery Manager (Shop Builder),Xsolla,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/delivery-manager-shop-builder-xsolla-JV_IC2622109_KO0,29_KE30,36.htm?jl=1010082157724"
1009968517658,"Founding Research Engineer in the Flower Frontier Model Team (all seniority levels welcome) [Germany, UK, Global]",Flower Labs GmbH,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/founding-research-engineer-in-the-flower-frontier-model-team-all-seniority-levels-welcome-germany-uk-global-flower-labs-gmbh-JV_KO0,107_KE108,124.htm?jl=1009968517658"
1010016353522,Staff Software Engineer (m/f/d) Data,Axel Springer National Media & Tech GmbH & Co. KG,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/staff-software-engineer-mfd-data-axel-springer-JV_IC2622109_KO0,32_KE33,46.htm?jl=1010016353522"
1010068746183,Platform Lead - Engineering Manager,Nucs AI,Deutschland,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/platform-lead-engineering-manager-nucs-ai-JV_KO0,33_KE34,41.htm?jl=1010068746183"
1010101852162,Senior Product Manager (EN),Cosuno,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/senior-product-manager-en-cosuno-ventures-JV_IC2622109_KO0,25_KE26,41.htm?jl=1010101852162"
1010087050154,Data Engineering Manager - Berlin,Vestiaire Collective,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/data-engineering-manager-berlin-vestiaire-collective-JV_IC2622109_KO0,31_KE32,52.htm?jl=1010087050154"
1010052602827,Senior Android Engineer (m/f/d),Axel Springer National Media & Tech GmbH & Co. KG,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/senior-android-engineer-mfd-axel-springer-JV_IC2622109_KO0,27_KE28,41.htm?jl=1010052602827"
1010000864536,Senior Consultant IT Audit & IT Assurance (m/w/d),Deloitte GmbH,Berlin,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/senior-consultant-it-audit-it-assurance-mwd-deloitte-JV_IC2622109_KO0,43_KE44,52.htm?jl=1010000864536"
1009940179570,(Senior) Manager SAP Master Data (m/w/d),Deloitte,Berlin,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/senior-manager-sap-master-data-mwd-deloitte-JV_IC2622109_KO0,34_KE35,43.htm?jl=1009940179570"
1010000865666,Senior Consultant / Manager - SAP Supply Chain and Finance Data Management (m/w/d),Deloitte Consulting GmbH,Berlin,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/senior-consultant-manager-sap-supply-chain-and-finance-data-management-mwd-deloitte-JV_IC2622109_KO0,74_KE75,83.htm?jl=1010000865666"
1010122604078,Principal Security Engineer,Pipedrive,Deutschland,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/principal-security-engineer-pipedrive-JV_KO0,27_KE28,37.htm?jl=1010122604078"
1010057298481,(Senior) AI Security Engineer (f/w/d),PAIR Finance GmbH,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/senior-ai-security-engineer-fwd-pair-finance-JV_IC2622109_KO0,31_KE32,44.htm?jl=1010057298481"
1010000866205,Consultant IT-Assurance / Financial Services (m/w/d),Deloitte GmbH,Berlin,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/consultant-it-assurance-financial-services-mwd-deloitte-JV_IC2622109_KO0,46_KE47,55.htm?jl=1010000866205"
1010108512185,"Product Director, Banking Engagement",Crypto.com,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/product-director-banking-engagement-crypto-com-JV_IC2622109_KO0,35_KE36,46.htm?jl=1010108512185"
1010122604081,Lead Security Engineer,Pipedrive,Deutschland,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/lead-security-engineer-pipedrive-JV_KO0,22_KE23,32.htm?jl=1010122604081"
1010000865638,Consultant SAP Master Data Management (m/w/d),Deloitte Consulting GmbH,Berlin,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/consultant-sap-master-data-management-mwd-deloitte-JV_IC2622109_KO0,41_KE42,50.htm?jl=1010000865638"
1010028332157,Senior Software Engineer (m/w/d) @ FICUS Health,Merantix,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/senior-software-engineer-mwd-ficus-health-merantix-JV_IC2622109_KO0,41_KE42,50.htm?jl=1010028332157"
1010000866243,Senior Consultant IT-Assurance / Financial Services (m/w/d),Deloitte GmbH,Berlin,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/senior-consultant-it-assurance-financial-services-mwd-deloitte-JV_IC2622109_KO0,53_KE54,62.htm?jl=1010000866243"
1010121599812,Senior Product Owner – Xsolla Money Account,Xsolla,Deutschland,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/senior-product-owner-xsolla-money-account-xsolla-JV_KO0,41_KE42,48.htm?jl=1010121599812"
1010000865612,Senior Consultant SAP Master Data Management (m/w/d),Deloitte Consulting GmbH,Berlin,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/senior-consultant-sap-master-data-management-mwd-deloitte-JV_IC2622109_KO0,48_KE49,57.htm?jl=1010000865612"
1009987049882,Senior Backend Engineer (m/f/d) – Kotlin/Spring Boot/AWS,Axel Springer National Media & Tech GmbH & Co. KG,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/senior-backend-engineer-mfd-kotlin-spring-boot-aws-axel-springer-JV_IC2622109_KO0,50_KE51,64.htm?jl=1009987049882"
1010065281760,"Associate Director, Medical Programs",Nucs AI,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/associate-director-medical-programs-nucs-ai-JV_IC2622109_KO0,35_KE36,43.htm?jl=1010065281760"
1010021599336,Performance Manager (m/f/d),JSD-JLL Services GmbH,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/performance-manager-mfd-jones-lang-lasalle-JV_IC2622109_KO0,23_KE24,42.htm?jl=1010021599336"
